4,-201
1428,-144,15580,-481,-150,-208
1240,-248,15716,-509,-157,-211
1228,-108,15616,-479,-157,-211
1312,-60,15624,-469,-136,-214
1332,-92,15580,-483,-118,-201
1356,-112,15644,-500,-131,-207
1288,-160,15560,-470,-131,-192
1224,-108,15612,-470,-120,-214
1228,-156,15776,-490,-134,-227
1276,-104,15668,-500,-128,-211
1284,-180,15676,-474,-140,-213
1380,-184,15704,-488,-152,-205
1516,-116,15616,-457,-140,-216
1344,-36,15684,-491,-125,-170
1312,-104,15568,-446,-115,-204
1448,-188,15652,-478,-124,-200
1300,-72,15580,-458,-158,-186
1196,-116,15524,-480,-128,-195
1216,-148,15568,-488,-136,-186
1316,-76,15780,-486,-161,-204
1308,-72,15620,-471,-157,-209
1396,-68,15568,-460,-114,-207
1200,-160,15640,-460,-92,-193
1360,-48,15536,-477,-124,-210
1364,-128,15588,-478,-110,-217
1372,-48,15556,-478,-142,-186
1276,-112,15644,-496,-157,-202
1200,-116,15600,-465,-155,-207
1316,-104,15660,-468,-115,-198
1244,-100,15780,-478,-105,-208
1264,-156,15580,-471,-158,-215
1376,4,15540,-462,-146,-189
